Hectare,Shift,Date,Note Squirrel & Park Stories, Squirrel Experience or Squirrel Story, Park Experience or Census Taker Story, Dogs, Other Animals, Accidental Poems, Squirrels Acting Odd, Census Takers Recognized, Other
19D,AM,10072018,"A baby cuddled next to a golden retriever. Babbling like crazy (the baby). Seemed like the baby was saying, ""Get me a dog, Mom and Dad.""",,true,true,,,,,
19D,PM,10192018,"Lucy (Huang, freelance reporter) discussed the squirrels with me for the radio while we walked.",,true,,,,,,
19E,AM,12202018,"Same story early shift near walkway -- Doggos! Doggos amongst the trees where I see big [unknown word: ""drays"" ??]

- And nothing on the G. Lawn :( 

- Interaction from well to do pretty person w/ fancy doggo -- ""You Doing Squirrels?""
Me - ""yeah :)""
Her - ""Ha. Ha. I knew it!"" - End Scene - 
- Found nice fallen drey [what is this?] - (Pic)",,true,true,,,,true,
21H,AM,10172018,Found an abandoned tennis ball close to the Met. There's a sad doggo out there somewhere.,,,,,true,,,
19E,AM,10072018,"This seems a popular path for dog owners to travel. A human was talking to his dog and said, ""You're looking for squirrels, aren't ya?"" I wanted to enlist the dog since I didn't see any squirrels. Maybe next time.",,true,true,,,,,
19E,PM,10182018,"Squirrel seen at 4:42 PM just behind Field #1. He’d stop a moment, do a tail twitch, then continue. Did this two times, then fled when he or she saw me.

Acorns are bouncing all around me. I see a very large squirrel nest high in an oak tree.

Squirrel seen at 4:54 PM. Tail twitching, he scaled a four-foot wire fence.

Heard kukking, couldn’t see squirrel.",true,,,,,,,
19F,PM,10172018,"Lady with her dog asked, ""Are you censusing?""",,,true,,,,true,
19G,AM,10202018,"- dead bird by MET :(
- many sirens driving by main road (2 ambulances. 1 firetruck.)
grey squirrel by Alexander Hamilton",,,,,true,,,
19G,PM,10172018,"Squirrel #1 was on a tree watching a nearby couple pass. I started to take a photo and the squirrel looked at me as soon as the shutter clicked. We both kind of stared at each other for a few seconds and I started to take more photos, he kept cocking his head until eventually making his way down the tree and slowly coming towards me. I kneeled down + we  stared at each other again until a dog ran over and scared it off. It ran back up the tree",true,,true,,,,,
19G,AM,10182018,"Lots of birds (especially robins, red breasts) 
lots of oak trees and acorns 
no squirrels",,true,,true,,,,Birds
19H,PM,10082018,Very quiet. Didn't see any other animals or humans!,,true,,,,,,
19H,PM,10192018,"Nice little lawn between Cleopatra's Obelisk and the Sculpture Cafe — lots of birds. Some woodsy parts with a bit of goldenrod, a few big trees, and an HVAC vent/staircase.
One oak tree with leaves starting to turn.",,true,,,,,,
19H,AM,10102018,"They said there wouldn’t be squirrels here. They were wrong. Area felt damp and cool — secluded. Quiet. Because the area was lined with a museum wall along with a wall of trees and vegetation, the squirrels seemed to be protected from humans and dogs.",true,,,,,,,
19I,PM,10192018,"I asked the Met grounds guy if he ever saw a squirrel on the side of the Met. He thought for five seconds and said, “Raccoons, rats, pigeons — but no, never saw one squirrel!“ 

Aggressive pigeons and loud fountains. (Koch Brothers near.)",,,,true,,,,"Birds, Rats, Raccoons"
19I,AM,10172018,"There were no squirrels in this hectare, just people sitting in the sun waiting for the Met to open.",,true,,,,,,
20A,PM,10102018,"- Man and woman look as if to be meditating at the top of Summit Rock. - Squirrel number 2 jumped while being vertical, climbing up a tree, to another tree. Not from branch to branch, from trunk of tree, to another trunk of the tree. It was incredible, be",true,,,,,,,
20A,AM,10102018,"Both squirrels were on the rock ledge overlooking Central Park West Rd.

There were a lot of birds — sparrows, pigeons, Cardinals due to birdseed scattered on the ground.",true,true,,true,,,,Birds
20A,PM,10182018,"Lots of thick ground cover in this area; tons of birds (robins?).

While looking, I got hit on the head with an acorn but still only saw one squirrel in the whole hectare!",,true,,true,,,,Birds
20B,PM,10192018,"Our second hectare seemed to have few squirrels -- until we ventured off the road into the woods. I don't know why it surprised me -- it was quiet and seemed empty -- and then they slowly emerged. They seemed less territorial and chased each other less. It was a peaceful walk and we noticed more than we usually fo, which was lovely, making us want to take more walks.",true,true,,,,,,
20B,PM,10132018,"Squirrels here have it in for the birds, mostly a bevy of robins in the berry trees and on the ground.

Hot spot for serious birdwatchers. They're all wearing green and have telescopic lenses.

Kid is trying to teach his mom how to throw a ball properly.",true,true,,true,,,,Birdwatchers
20B,AM,10072018,9:25: tree shredder started. 9:30: Not so calm for now. Rumbling into distance now. Camouflaged photographer with two birders. Now a whole flock of birders.,,true,,,,,,
20B,AM,10202018,"! Summit Rock is where my friend has her yearly birthday picnic (14+ years now). I've watched squirrels build drays and pointed them out to kids in attendance. ""Weird squirrel guy"" = me.

- Caught great high-rise drama between two guys trying to cross a gap. :)",true,true,,,,,,
20C,PM,10182018,"Sighting a few hawks flying nearby assigned hectare. Once at the assigned hectare, I spotted several squirrels. All of them were running and ran towards me. One guy was interested at what I did & asked a lot of questions. I saw a dog chased one squirrel up to a tree and a couple who gave squirrels some nuts.",true,,true,,,,,
20C,AM,10182018,"Lots of runners and small birds

Many small trees with berries

Few runners on bridle path.",,true,true,true,,,,Birds
20C,PM,10192018,"Our first hectare was quiet and breezy, with birds everywhere. After our first two sightings, some acorns fell down and as we looked up we saw one so high up – we would have entirely missed it peacefully eating while crumbs fell from 30 feet up. Then our eyes adjusted, and they were everywhere. They seemed to chase each other territorially — but not much verbal communication. They were eating more than I thought. I thought he would be foraging and collecting more. We learned a lot.",true,true,,true,,,,Birds
20D,PM,10192018,"I met a couple coming to feed peanuts to the squirrels. They come every day. They have been observing a pregnant squirrel for a month + feeding her ""extra"" peanuts. They could ID her because it ""looked like she was wearing brown gloves"" (she has brown front paws). The juvenile squirrels do not know that this couple brings food. The couple said that the young squirrels ""learn"" to eat peanuts.",true,,,,,,,
20D,AM,10072018,"Very busy dog run area. Lots of matching midsized poodle dogs. Hounds and sheepdogs. Rather rambunctious goings-on. Squirrels are missing. Waiting it out, most likely.",,true,true,,,,,
20D,PM,10142018,"The Great Lawn was closed, but the one squirrel I saw was munching away right by the baseball diamond.

On the path, which was lined with benches, an old lady was sitting next to her dog, both on a park bench. 

[Illustration of dog] Caption: ""If only I could get on to that lawn.""",true,true,true,,,,,
20E,PM,10062018,"Nest in tree, large. Great Lawn closed! Walked on outskirts. Zero squirrels!",,true,,,,,,
21H,PM,10202018,I was disappointed that this hectare didn't have any squirrels.,,true,,,,,,
20E,AM,10142018,"The walking path on the east side of the Great Lawn was very busy and a lot of dogs were off leash. We saw two squirrels – both under nut-producing trees in the Great Lawn. Dogs would come to the fence surrounding the Lawn to watch them forage. They were far enough away to be unbothered by the voyeuristic dogs!

The Race for the Cure March was also going on on 5th Avenue and producing a lot of ambient background noise/chanting. Probably too far away to spook the squirrels, though.",true,,true,,,,,
20F,AM,10142018,"I know they're not conducive to squirrel sighting, but I love how many dogs are off leash, walking around like they're the best party host, greeting everyone like the stars that they are.

8:59 a.m.: I was chosen by one to give it a pet!

What looks like a Breast Cancer Awareness March is coming through — lots of chanting and cheering! (The cheers I heard were actual cheerleaders.)

Squirrels #2 and #3 were near a nest! (Wasn't sure which made the kuks so marked both.)",true,true,true,,,,,
20F,PM,10072018,"General area has quite a few people (not packed), but it’s quiet with mostly ambient sound. Lots of people lounging on the blankets.

One section of grass around 40 sparrows foraging together, almost like grass. A lot of Rob also spotted. Lots of intermittent helicopter noise. 

Two walking paths divide the hectare, and most squirrels were foraging in the strip of land between them.",true,true,,,,,,
20G,PM,10202018,#1 - half-tailed,true,,,,,,,
20G,PM,10132018,Man playing with his dog. Family picnic.,,true,true,,,,,
20G,AM,10182018,"- Hawk was being mobbed by black birds.

- Squirrel #1 stayed very still on the tree branch.

- Squirrel #2 running on ground then ran up a tree where it met Squirrel #3.

- Squirrel #3 ran around in trees.",,,,true,,,,Birds
20H,AM,10142018,"Currently blocked off for construction, no access. Breast Cancer walk coming by. Lots of cheering!",,true,,,,,,
20H,PM,10132018,Under construction: The north side of the Met is walled off due to park enhancement project.,,,,,,,,
20I,PM,10122018,Barely any squirrels at all.,,true,,,,,,
20I,PM,10192018,Not busy. Limited ground near streets.,,true,,,,,,
20I,PM,10182018,Seemingly little to no wild foliage. Very busy. Not surprised by lack of squirrels. Surprisingly little litter.,,true,,,,,,
20I,AM,10172018,"There were no squirrels in this location. Hot dog vendors were setting up for the day, however no one is buying hot dogs at 9:30 a.m.

An employee is driving around in a vehicle vacuuming up leaves — very noisy.",,true,,,,,,
21A,AM,10192018,"2&3 - playing, chasing, not biting, jumping on back, stopped on small tree & groomed themselves, one appeared to mount the other. #7 stayed in top of tree - jumped from one tree to another. Had an acorn in mouth.",true,,,,,,,
21A,PM,10062018,"Lots of small children (playground). Dog walker. Unbelievable, no squirrels! Lots of trees. Nest (maybe a raccoon nest).",,true,true,true,,,,
21B,PM,10172018,"There is a nest on one tree where 2 spotted 3 juvenile squirrels running & chasing each other. One started to make sound “Auaas” while stomping on the branch of the tree. A couple passed by and tried to play with one of the squirrels. On the other side, I spotted one dead pigeon.",true,,,,,,,
21B,AM,10192018,"Squirrel #3, maybe #6 from Hectare 21-A.",true,,,,,,,
21C,PM,10062018,Did not find squirrels in busy areas.,,,,,,,,
21D,PM,10082018,"Turns out squirrels eat mushrooms! And they are picky about which ones to eat. Squirrel #5 ate a mushroom -- but only the biggest one out of about 6 on the field. 

This area had lots of squirrel activity & ppl doing all kinds of things -- strolling, exercising, walking dogs.",true,true,,,,,,
21D,AM,10082018,"Many people commuting to work but is quiet and away from traffic. Lots of trees and other types of birds. No squirrel attacks here, but one was lively, scaling a fence then running through foot traffic to a tree nearby.",true,true,,true,,,,Birds
21E,AM,10172018,"9:28 a.m. — The empty softball fields look like a pristine battlefield — red flags abound and blow in the wind. Do the squirrels see them as signs of peace or war? 

9:30 a.m. — A fence surrounds much of the area — no dogs allowed. 

9:31 a.m. — This mighty oak must hold squirrels — but alas ...

9:33 a.m. — Trees with red berries. 

9:37 a.m. — Squirrel-HO! One-two-three squirrels! Two chase each other up a tree, the other ignores and forages. In an area at pines — on the edge of hectare — out of the softball fields. 

9:42 a.m. — Acorns litter the visitor's bench. 

9:45 a.m. — A group of youths appear in matching jumpsuits to do jumping jacks.

Addendum — 9:49 a.m. — A squirrel, but well out of my hectare. You win this time.",true,true,,,,,,
21E,PM,10122018,"The great lawn is closed.. No movement/2 squirrels. No dogs – very few birds.

One sighting just on boundary of squirrel in tree. Second sighting just behind home plate of squirrel eating.",true,true,,true,,,,Birds
21E,AM,10202018,"Lawn is closed, so walking around it.

People walking by with balloons for a party, including and Avengers balloon and a Peppa Pig balloon

Gray squirrels outside boundary (one north, three south, least southern squirrels not labeled on map)

Lots of nuts.",true,true,,,,,,
21F,PM,10122018,squirrel #4 seems to enjoy classical music.,true,,,,,,,
21F,PM,10192018,I saw many squirrels here because of lots of trees and grass.,true,true,,,,,,
21F,AM,10182018,There was a group of elementary school kids playing kickball. This hectare also seems to be a popular off-leash area for small dogs. I found a dead squirrel in a fenced-in area.,true,true,true,,,,,
21G,AM,10142018,"Squirrel 2 attempted to scale the green construction wall before returning to the black fence. Squirrels 3-7 are definitely fans of trees —> are all hiding in the holes of trees, came out all at once, then they chased each other down the tree before returning to the inside of the tree - all facing away from the runners.",true,,,,,,,
21G,PM,10072018,"* Squirrel #4 had a huge piece of bread and seemed very protective of it. 
*Hectare was really busy. Lots of people on bikes, ringing their bells, and kids running and screaming around.",true,true,,,,,,
21G,PM,10202018,"Only saw sSquirrels #7 and #8 after a dog barked. They ran from brush up two different trees, and flagged tails.",true,,true,,,,,
21H,PM,10182018,"The squirrels were very curious about us paying attention to them, and Squirrel #1 and #2 walked toward us, probably to beg for food, seeing as they were young.",true,,,,,,,
21I,AM,10182018,"An abandoned toy truck, Iron Man ball - sparkly headband 
at the playground - and one kid playing alone on a cold morning !",,,,,true,,,
21I,PM,10202018,"* Wedding party at Marymount 
* Ancient playground was very busy.
* Nests noted in oak trees in park and in tree line next to Met.
* Only squirrels noted were on the Osborn Gates (ferrous sciurus)",,true,,,,,,
21I,PM,10132018,"Saw teenagers doing sick wheelies on bikes on my way to the quadrant. This is a busy, built out area with a lot of concrete (playground, sidewalks, street, museum). A lot of people, a few dogs on walks, some sparrows, some migrating birds way up in the sky, but not a lot of animals otherwise. Some fallen french fries outside of the Met were surprisingly unmolested. No squirrels :(

Did not check inside museum. 

Metal squirrels on Osborn Gate (and other metal animals).",,true,true,true,,,,Birds
22A,PM,10192018,Lots of gingko trees near the street. 4 Hawks flying high overhead. Saw 1 dandelion. Lots of dogs & walkers. 1 low flying hawk. Near (adjacent to) 2 playgrounds. Oak trees did not have many acorns on ground.,,true,,true,,,,
22A,PM,10172018,"It was quiet at the beginning but towards the end, I spotted three squirrels spreading in one area. I noticed no sighting where the area is near Central Park West.",true,,,,,,,
22B,PM,10142018,"ROBINS HAVING BATH
BLUE JAYS 
WOOD PECKER 
ONE SQUIRREL TILTED HEAD STRANGELY 
WHILE CHEWING",,,,true,,true,true,
22B,AM,10132018,"It was a chilly, wet morning, the kind that makes humans and squirrels alike want to stay in bed. Saw around six humans stroll through my space, nearly all with dogs. The playground was locked closed and empty. But just south, beyond th--",,,true,,true,,,
22B,PM,10192018,"Squirrel #2 up and down tree with leaves.
Squirrel #1 continued to eat and hide nuts.",true,,,,,,,
22C,AM,10132018,"Saw a good example of tail flags (it would seem I look like a predator). Also watched a squirrel tear a mushroom to pieces -- as it ate, it cocked its head back and to the side.",true,,,,,,,
22C,PM,10192018,"Squirrel #1 took off into Hectare D.

Squirrel #5 on swings.",true,,,,,,,
22D,PM,10202018,The groundskeepers call squirrel #2 Anthony. They like him. Named after coworker.,true,true,,,,,,
22D,AM,10082018,"I couldn’t see a single squirrel! They were very ornery though. Lots of kuks and quaas when I started walking the hectare. For a while I was the only person in the area, and for the half hour I observed there was minimal dog activity.",true,,true,,,,,
22D,PM,10122018,"Quiet and busy areas.
Busy areas — kids playing/few squirrels.
Adults playing ball.
Squirrels mostly in bushy, non-busy areas.
Content, foraging — healthy-looking squirrels.",true,true,,,,,,
22E,PM,10142018,#NAME?,true,,,true,,,,
22E,AM,10182018,"Red flags on field observed from path, sign says: “Great Lawn: closed for the season to rest“

Hearing kuks, I think, no sightings. 
Four squirrel nest sightings. 
Nice passing sighters “in the field”",true,true,,,,,,
22F,AM,10072018,"* Dog intently watching squirrel #1 
* Area very calm 
* Squirrel #2 very acrobatic 
* Lots of nerf bullets",,,true,,true,,,
22F,PM,10142018,Most of this area was taken by humans playing various games.,,true,,,,,,
22G,PM,10182018,"Lots of rats by the bridge and Reservoir — SAD.

Two squirrels in 21-G.

A very exciting flag football game of kiddos was going on, as well. Potentially scared squirrel friends away, though.",true,true,,true,,,,
22H,AM,10182018,"Somehow no squirrels! 
Seems like they should be here. But--

- The wind kicked up
- Caravan of police cares w/ flashing lights drove by 
- Caravan of screaming school kids also went by",,,,,true,,,
22H,PM,10072018,"Area is loud and busy due to proximity to pedestrian paths near Met and traffic. Lot of pedestrians below bridge #24. Quite a few children yelling. Lots of flowering shrubs — parts of the area smell strongly like melon/honeydew. Two rats spotted near trashcans at South Gatehouse. Area is generally VERY noisy with lots of joggers and families skirting Reservoir. Not much grass — mostly sidewalks and dirt. Not many squirrels. #s 2 and 3 were in brambly area with ground covering and small, low trees.",true,true,,,,,,
22I,PM,10132018,"There was a fancy poodle with bows galore. (x 2)

Two Central Park Conservancy workers were cleaning up trash.

No squirrels here :( too bad.",true,true,true,,,,,
22I,AM,10072018,"* lots of birds, wide variety
* birds were eating bread loaves",,true,,true,,,,Birds
23A,PM,10072018,A lot of ground cover in this hectare — particularly myrtle plus evergreens. Tall trees but no sightings. Big pieces of bread and some sparrows.,,,,true,,,,Birds
23A,PM,10202018,Squirrels #1 and #2 were chasing each other up a tree.,true,,,,,,,
23A,AM,10182018,"Squirrels #2 and #3 chasing each other up and down tree. 

Lovely brand-new renovated paths and lawns.",true,true,,,,,,
23B,PM,10122018,"A young woman had her rotund white chihuahua (illegally) off leash in the area between the playground and the Transverse. ""Slow down!"" she kept crying at it. ""Slow down!"" Despite the fact that he never seemed to progress above a waddle. Maybe she was on the phone.",,true,true,,,,,
23C,PM,10142018,"A lot of people walking and biking along the paths here.

A ballerina (in her tutu and ballet shoes and all) was being photographed doing ballet poses by Bridge #27.

Squirrels seen in wooded areas that are mostly fenced off, near the paths.",true,true,,,,,,
23D,PM,10072018,Dense shrubs plus ground cover,,true,,,,,,
23D,AM,10132018,"Very loud! The road was busy and the walkway by the lake full of runners.

Still, just when I gave up hope, a rogue squirrel spotted me on his way up a tree. We stared at one another for a few moments and then moved on, though not in my heart.",true,true,,,,,,
23E,PM,10182018,"This hectare is mostly a police precinct, high fences, and a busy street. If I was a squirrel, I wouldn’t live here either. The only squirrel I saw was eating trash by a picnic table.",true,true,,,,,,
23E,PM,10062018,I was mainly in the parking area and I observed a few nests yet no movement or signals of squirrels near them. I’m walking more toward the police station to see what I find. Once again I believe the weather conditions are affecting the sighting.,,true,,,,,,
23F,PM,10132018,"[lots of notes surrounding the map]

Quadrant has varied territory: reservoir + path, ""wooded"" area + bridle path, transverse, precinct + park area behind it. I expected the squirrels to be in the wooded area (there were a few squirrel-like nests there), but  all the squirrels I saw were just southeast of the precinct. 3 of 4 were foraging there, in a more grassy, park-like area w/ trees but little undergrowth. People were a) walking b) jogging c) dog walking. It was busiest near the reservoir and got quieter as I went south 

Saw off leash dog chase squirrel outside of quadrant while walking away",true,true,,,,,,
23F,AM,10182018,"Since a police station, highway, and reservoir were part of this hectare, I didn’t see a lot of squirrels. It’s a popular area for running.",,true,,,,,,
23G,PM,10142018,There were no squirrels here! Bummer.,,true,,,,,,
23G,PM,10122018,Some people looking out at the water. Generally a peaceful place. Some people picking up litter here. One or two nuts. Not much activity due to the presence of water.,,true,,,,,,
23G,AM,10182018,"I feel like I failed. My father grew up in a poor Kentucky valley and used to hunt flying squirrels so his mom could make squirrel stew. He just died in April. I think he'd be amused that I was out searching for squirrels and not finding any!

This area has a lot of foot traffic but also a lot of noise from the cars on the 85th St. crosstown. The gusty wind is really blowing the trees, so not sure if that’s why they aren’t up there.",,true,,,,,,
23H,PM,10062018,A tiny sliver of lawn that squirrels use for short-term foraging before dogs scare them into the bushes. No noticeable tree activity.,true,,true,,,,,
23H,AM,10142018,"Aww, the runners from the race are singing the ""I Love You"" song from Barney! 

Two dogs came running up to me with a tennis ball.

There are nuts in the area from an oak (?) tree.",,true,true,,,,,
23H,PM,10192018,"No squirrels in the water, much to everyone's surprise.

A small yellow and gray bird landed on the ground right next to me feet. It did not seem concerned that we were towering over it and less than a foot away.",,true,,true,,,,Birds
23I,PM,10192018,"lots of people walking and juggling 

I had been walking along the path looking up into the trees, not seeing much. 
suddenly, a flash of movement! 
a squirrel ran across a high branch and seamlessly jumped across to a branch of a neighboring tree. maybe it was late to the monthly council meeting.",true,,,,,,,Jugglers
23I,PM,10122018,Many joggers in this area. A few nuts scattered around but a noticeably lacking amount of squirrels.,,true,,,,,,
23I,AM,10192018,"I looked up, and the squirrel was frozen on the side of the tree – tail towards the sky, head towards the ground! It kind of gave me a lot of wary side-eye before it turned to climb the tree.",true,,,,,,,
24A,PM,10072018,"We were approached by a young guy walking his dog. He asked what we were doing and when we told him we were sighting squirrels, he said there's a particular squirrel in this hectare who always ""teases"" his dog! The dog was off his leashed and caused the few squirrels we saw to rush up a nearby tree.",,,true,,,,,
24A,AM,10142018,Spoke to a woman who said she has observed fewer squirrels since the park was renovated.,true,true,,,,,true,
24B,PM,10172018,"There is a puddle in the area--
Heard the hawk's noise.
people are jogging and running all the time.",,,,,true,,,
24B,AM,10202018,#NAME?,,,,,true,,,
24B,AM,10132018,The fences were very hard to negotiate.,,true,,,,,,
24B,PM,10102018,"Lots of humans, dogs, noise, runners, bikers, kids, helicopter buzzing, ball playing. But no squirrels. Construction vehicles parked on Bridle Path.

Even more busy than 29-B. 

Only two pieces of litter! Obviously dropped by accident.",,true,true,,,,,
24C,AM,10132018,"A small flock of birds exploded around me on the path, their wings snapping like fingers at a poetry performance.

No squirrels.",,true,,true,,,,Birds
24C,PM,10172018,"Lots of runners , no squirrels.

Lots of teenagers taking photos and teenagers running.",,true,,,,,,
24C,AM,10192018,"There is a maintenance crew. They are tied to the fence, leaning out over the Reservoir with weed whackers, clearing the bank. This forces the runners to detour.",,true,,,,,,
24C,AM,10102018,"Many acorns along path – evidence of squirrels not seen.

Extremely heavy foot traffic. Overheard: spirited debate over energy gel between runners, someone is not excited to attend a wedding ...

Mild comedy: flickering look on runners faces as they approached and passed by, as I am friendly enough looking woman wielding a pencil and clipboard. I can see the wheel spinning – “oh no, not a petition/fundraiser/any and all things that someone with the clipboard might be hawking on the Reservoir trail.“ The typical city demeanor (neutral to all things) taken to the next level. Ha ha.",,true,,,,,,
24I,AM,10202018,"23 mallard ducks
1 weird dog (plus weird owners)
1 lost shoe (size 4 toddler)

3 police cars
3 ambulances
1 fire truck
(with sirens on)

• squirrel
* red cardinal
X squirrel nest",,true,true,true,,,,Birds
24I,AM,10192018,Large tourist group,,true,,,,,,
24I,PM,10072018,"We saw a runner, no squirrel encounters. Lots of people and couples! There was a bridge nearby but no people around the bridge. There were a lot of birds in the lawn.",,true,,true,,,,Birds
25A,PM,10072018,"We had trouble sighting more than 1 squirrel in this hectare, but maybe that's because in t he  middle of the hectare was a big tree. And about 40-50 feet in the air, what do you know but we spotted a raccoon sleeping on a branch!!!",,,,true,,,,
25A,AM,10132018,"Lots of joggers, dogs, and birds.",,true,true,true,,,,Birds
25B,AM,10142018,There is a Breast Cancer Walk and runners both in my area. Dogs drinking from a puddle in th green path. Hunting dogs running wild with no leashes. Lots of nut-providing trees but no squirrels.,,true,true,,,,,
25B,AM,10202018,Thank goodness I saw a squirrel at the very end. Pretty high dog activity even after off-leash hours ended. Lots of runners.,true,,true,,,,,
25B,PM,10072018,"A lot of runners and birds. One man looking at vegetation and birds, I think.

The two squirrels were foraging and climbing. They didn’t seem bothered by me and my talking to them. They looked up at me and gave me some lovely little eye contact.",true,true,,true,,,,Birds
25I,AM,10122018,"[marked on map: ""woman saw 2 on path earlier"" and ""loud truck""]

3 squirrels were interacting together on a tree chasing 1 for a nut & seemed 2 know each other. 2 males, 1 female, bonded 
approached me and were very curious 
all the squirrels I saw had nuts or were chasing for nuts, all squirrels looked healthy / were at the bottom of or in tall trees 
people knew what i was doing",true,,,,,,true,
25I,PM,10072018,Nest building — at least 30 feet up a tree.,true,,,,,,,
26A,AM,10142018,"Cancer walk in pink, supporters cheering with hope, where are the squirrels?

#1 rolled in a patch of loose dirt, they found #2 and they chased a lot [or 'about' .. hard to tell]

entrance to secret lair [marked on map]",,,,,true,,,
26A,PM,10062018,"We started our squirrel counting in great anticipation — we headed towards location 26A off 90th, and there we saw six squirrels. They were very much the same. Most of them were kind to us and acted like they like humans. When we headed towards 90th St., we found a baby squirrel injured with what looked like broken back legs. We brought him back to Gothic base, Bridge #28.",true,,,,,,,
26A,PM,10202018,"Safari Park was closed and fenced off due to construction. But I got in! :-)

Managed to scale fence and found two hiding in a very safe area! 

It was very apropos that this last hectare was abutting my very first hectare. I felt I’d come full circle (sappy chords).

OMG! My favorite spot under a tree looking up. Nothing. But I saw a white burst of color, I followed it south and it had a squirrel oddly patronizing me at the end :-)",true,true,,,,,,
26B,AM,10102018,"Observed just one little dude in this area — tons of foot traffic, dogs, a group of very young kids, walking two by two, in formal blue uniforms. A good spot for Central Park Bingo. Khakis/ties/Bluetooth guys, tourists wielding selfie sticks precariously close to the Reservoir, someone running full sprint while Facetiming, and I mean, really a tremendous variety of dogs. Our Squirrel #1 appeared to notice a small greyhound nearby. But dog paid squirrel no mind at all — a very chill city dog, indeed.",true,true,true,,,,,
26B,PM,10172018,Extremely busy area. A lot of runners and dogs. No squirrels seen.,,true,true,,,,,
26I,PM,10072018,"We saw a squirrel! He/she ran down the tree, over the lawn, up a fence, and over the fence to another tree. Also, a dog jumped a fence. He was a big, white dog. There was a man on the phone whose eyeglasses matched his sweatshirt.",true,true,true,,,,,
26I,AM,10102018,"Nest here inside of hectare. Squirrels #1 and #2 in two different nests, neighbors. Heard squirrel babies.

Lots of people out running.",true,,,,,,,
26I,PM,10102018,"Very leafy traffic area: walkers, runners, bikes, tourists, etc.

One squirrel (#3) jumped down from 15 feet straight to the ground to pounce on a nut (?) — most aggressive foraging move I have see so far. 

Squirrel #3 also repeatedly returned to same tree branch to eat after foraging, sat in crook of branch and trunk.",true,true,,,,,,
27A,AM,10082018,All of Safari Playground is under construction. Squirrels #1 and #2 were playing together.,true,true,,,,,,
27A,PM,10062018,"I believe the weather conditions are affecting me on spotting some squirrels. Also Safari Playground is under construction, therefore I wasn’t able to get to the center of my hectare. I tried as much as I could to look inside the construction, but I didn’t see any squirrels. I found Squirrel #1 by the sidewalk. I saw other squirrel nest but no more squirrels.",true,true,,,,,,
27B,AM,10142018,"A passerby stopped me to pitch a ""Squirrels of Central Park"" children's story. Does the Census have an in-house publishing unit?",,true,,,,,true,
27C,AM,10142018,"There are no squirrels in this small triangle of rock next to the reservoir. 

We were excited to see a turtle swimming by, it claimed no squirrels frequent this shore.",,true,,true,,,,
27C,PM,10122018,"Lots of walkers, runners, people taking pictures. Very busy area.",,true,,,,,,
27I,AM,10072018,"Tons of foot traffic and dogs off leash (but, many truly adorable dogs sighted). Squirrels tend to use the trees as highways. Lots of fresh horse manure. 

Squirrels eating Beech nuts.",true,,true,,,,,
27I,PM,10082018,#NAME?,true,true,,true,,,,
28A,PM,10072018,"Like the crying child in the pink polkadot bike helmet, the squirrels have no interest in going to the playground. (The child eventually gave in.) For the squirrels, things were much more interesting around the trees — but close enough to the street that they had the chance to rummage through food litter.

* An old couple nearby adorably argued. ""Yes, you wrote me a poem."" (He didn't believe her.)",true,true,,,,,,
28A,AM,10142018,There was an area with trees and brush that had litter but it’s where I saw the one squirrel.,true,,,,,,,
28B,PM,10282018,"This hectare was very, very busy. I was surprised to not find any squirrels, but this year amount of people and dogs in this part of the park must be keeping them either away from here, or hiding.",,true,true,,,,,
28B,AM,10072018,"Squirrel nest in big birch near north boundary, no squirrel seen.

Robins all over a berry-producing tree near West Drive.

Tree buffer between Bridle and West Drive only active squirrel.",true,,,true,,,,Birds
28B,PM,10102018,"Two squirrels — one high up in tree, one running up tree.

Lots of nannies and kids.

School class doing relay races — too loud and raucous for squirrels to want to come here.",true,true,,,,,,
28B,PM,10172018,#NAME?,true,true,true,,,,,
28C,PM,10192018,"This was bonkers. Squirrels chasing squirrels! Related looking squirrels! I bet it was a squirrel soap opera. A note that there were hardly any dogs, which was v. unusual",true,,,,,,,
36D,AM,10072018,"- Squirrel #1 was very skittish -- nervously foraging as I approached, until an inquisitive dog hopped up to the fence and scared it up a tree. 
- Surprisingly few squirrels, but quite a few chipmunks, and ground-foraging birds.",true,,true,true,,,,
28C,AM,10142018,"Runners on the cinder sound like squirrels kukking. Just a little bit. Just enough to notice. Those runners need to pick their feet up.

A lot of birds. Lots of trees with berries. A birch tree, too.

I was starting to think we had zero squirrels. Fellow counter Caterina was counting the hectare next to me. I said, ""I haven't seen any."" She pointed and said, ""There is one right behind you!"" Sure enough! I said, ""You saved me."" The squirrel ran into the trees and bushes.",true,true,,true,,,,Birds
28D,PM,10172018,Woman walking along reservoir asked if I was counting squirrels,,,,,,,true,
28D,AM,10122018,"1. Dog ran for squirrel 3
2. Squirrel 6 was eating a mushroom",true,,true,,,,,
28D,PM,10202018,"Most of this hectare is water, so I spent 20 minutes and feel quite confident I have seen all the squirrels.

I was asked whether I know anything about trees, since I was looking up at them. Unfortunately, I don’t.",,true,,,,,true,
28D,AM,10142018,"Tons of joggers this morning, so only squirrels I've observed have been in this wooded corner of the hectare. Two pairs of squirrels chasing each other up and down two large 30 foot trees here.

Squirrels #3 and #4 spotted again near the end of my time foraging at the top of their tree.",true,true,,,,,,
